,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Total PPR,Pos,Fantrax
Allen Lazard,0.0,9.3,14.5,17.6,13.5,17.6,11.5,0.0,18.7,7.5,10.7,4.4,11.7,0.0,1.7,11.1,10.9,160.70000000000002,WR,116.0
Drake London,12.4,24.6,14.4,3.7,7.5,7.0,1.9,7.1,3.3,14.8,7.2,4.9,15.5,0.0,12.0,14.6,9.7,160.6,WR,92.0
Josh Palmer,3.9,13.0,15.9,3.5,5.4,14.7,0.0,0.0,18.6,7.4,30.6,10.6,13.0,9.3,9.9,3.6,0.0,159.4,WR,166.0
Tyler Boyd,13.3,5.7,20.5,7.62,6.2,12.6,29.5,12.8,9.4,0.0,6.2,3.6,10.0,0.0,14.5,5.1,0.0,157.01999999999998,WR,117.0
Marquise Brown,14.3,12.8,28.0,20.8,21.8,11.8,0.0,0.0,0.0,0.0,0.0,10.6,0.0,7.4,5.9,8.8,12.1,154.29999999999998,WR,50.0
DeAndre Hopkins,0.0,0.0,0.0,0.0,0.0,0.0,20.3,33.9,13.6,19.8,18.1,18.7,0.0,12.9,13.0,1.4,0.0,151.7,WR,105.0
George Pickens,1.3,3.3,6.9,16.2,14.3,5.8,18.1,0.0,0.0,14.5,18.3,10.7,1.2,10.8,7.3,16.7,4.9,150.3,WR,196.0
Christian Watson,6.1,3.9,0.0,9.3,0.8,0.0,0.0,2.2,4.4,32.7,21.1,21.0,24.4,0.0,8.6,10.9,2.1,147.5,WR,151.0
Courtland Sutton,11.2,19.7,17.7,16.2,12.4,3.4,5.3,2.3,0.0,12.6,13.0,13.5,0.0,0.0,0.0,11.4,8.4,147.1,WR,59.0
K.J. Osborn,4.4,4.5,18.3,1.5,9.1,4.8,0.0,8.8,0.0,7.7,3.7,2.3,3.7,14.8,31.7,4.7,18.9,138.9,WR,188.0
Parris Campbell,6.7,0.0,3.0,8.3,4.2,18.7,23.0,9.1,3.6,20.6,11.7,3.4,8.5,0.0,3.3,3.9,8.3,136.29999999999998,WR,315.0
Keenan Allen,10.6,0.0,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,12.4,15.9,20.8,21.2,16.6,21.4,11.8,133.8,WR,28.0
Darius Slayton,0.0,0.0,0.0,2.1,13.9,2.8,14.8,11.6,0.0,18.5,13.6,9.3,15.0,6.2,7.3,11.9,1.4,128.4,WR,397.0
