Player,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Total PPR,Pos,Fantrax
Dalvin Cook,13.8,7.6,13.6,10.6,26.1,15.3,0,25.1,13.6,23.6,7.2,9.6,16.3,8.6,27,10.7,6.4,235.1,RB,8
Leonard Fournette,15.7,9.4,12,18.4,35.9,22.1,4.6,14.8,11,10.8,0,0,14.1,10.6,11.4,25.2,8.7,224.7,RB,22
Joe Mixon,21.5,11.3,6.8,17.4,11.8,16.8,18.1,12.9,55.1,0,9.2,0,0,12.6,10.4,17.8,0,221.7,RB,10
Miles Sanders,18.5,11.6,5.4,29.6,8.4,14.2,0,13.8,15.3,5.4,5.8,31,11.8,28.5,1.9,6.1,6.1,213.4,RB,74
Najee Harris,10.6,13.9,13.1,7.4,6.6,12.9,11,11.96,0,9.9,27.6,10.9,10.2,13,14.6,15.5,20.3,209.46,RB,7
Jamaal Williams,16,7,24.7,23.9,5.6,0,7.3,22.6,10.1,11.9,24.4,10.6,9.5,3.7,3.3,3.4,22.7,206.7,RB,154
James Conner,16.5,7.1,8.7,10.7,7.3,0,0,0,11.4,23.6,13.4,21,0,23.4,18.1,25,14,200.2,RB,31
Alvin Kamara,7.6,0,7.3,0,23.4,18.4,17.5,42.8,9.2,7.5,12.9,7,5.7,0,12.4,19,9,199.7,RB,20
Travis Etienne,8.5,8.3,10.5,3.2,14.4,10.8,18.9,25.2,26.6,10.3,0,0.3,7.6,3.2,12.7,14.2,23,197.7,RB,40
Kenneth Walker,0,3.5,6.3,3.4,14.8,19,28.7,12.2,27.9,13.2,0,16.9,3.6,0,11.9,12.5,15.2,189.1,RB,89
Jerick McKinnon,7.9,9.6,2,1,9.2,6,6.8,0,10.4,11.8,1.4,5.6,14,32.4,34.2,12.8,22.6,187.7,RB,308
Ezekiel Elliott,5.9,5.9,14.5,10.1,7.8,15.6,17.7,0,0,0,17.7,16.5,18.1,17.1,15.1,13.1,9.7,184.8,RB,35
Devin Singletary,8.2,4.1,24.1,11.6,5.6,14.7,0,9.3,8.8,15.7,17.7,9,11.1,5.3,10,20.5,0,175.7,RB,76
David Montgomery,8,15.6,1.1,0,18.2,9,12.2,8.5,5.4,5.4,21.1,14.3,16.7,0,24.1,10.4,5.6,175.6,RB,33
D'Andre Swift,26.5,16.7,7.6,0,0,0,0,14.3,8,8.2,12.2,10.3,21.1,6.9,12.5,3.5,27.7,175.5,RB,14
Dameon Pierce,4.9,8.7,18.1,25.9,20.3,0,15.7,14.1,13.9,12.2,3.7,4.6,12.5,11.8,0,0,0,166.4,RB,139
Antonio Gibson,20,12.1,11,9.3,6.9,8.3,16.7,20.7,6.7,14.8,13.3,8.4,7.9,0,4.7,5.1,0,165.9,RB,77
A.J. Dillon,20.1,7.7,5.8,9.4,3.4,9.2,1.5,7.3,6.4,6.5,3.3,17.8,20.9,0,22.1,12.8,10.1,164.3,RB,54
Raheem Mostert,4.2,10.9,1.1,10.1,19.2,5.8,20.9,7.7,8.6,18.7,0,0,3,5.4,16.6,4.9,23.1,160.2,RB,162
Jeffery Wilson,5,12.3,11.6,13.4,20.2,0.5,5.4,5.5,16.2,22.3,0,12.2,0.3,2.6,0,11,10.6,149.1,RB,225
Jonathan Taylor,27.5,7.3,12.1,3.3,0,0,15.5,5.6,0,24.3,16.4,18.8,13.3,0,2.3,0,0,146.4,RB,1
Tyler Allgeier,0,3,4,11.4,4.5,5.1,11,17.5,13.3,3.3,7.4,5.4,5.2,0,22.6,15.7,16.5,145.9,RB,155
Cordarrelle Patterson,22.6,4.1,22.3,9.8,0,0,0,0,18.3,3,11.9,10.1,6,0,12.2,4.1,20.4,144.8,RB,69
Rachaad White,4.1,0.1,0,16.6,7.2,5.3,4.2,7.3,6.4,10.5,0,19.9,16.9,10.7,5.3,15.3,9.8,139.6,RB,128
Samaje Perine,6.7,2,14.1,0,9.6,3.6,2.8,4.7,6.4,0,30.2,19.3,21.5,9.4,3.4,5.2,0,138.9,RB,258
Latavius Murray,0,0,0,13.5,0,7.4,10.3,12.9,0,7.7,17.2,10.8,10.1,6.1,21.2,7,11.2,135.4,RB,363
Cam Akers,0,8.2,10.1,1.3,3.3,0,0,0,0.3,2.2,6.1,3.7,19,9.3,13,34.7,14.3,125.5,RB,27
D'Onta Foreman,0.5,0.9,0,0.2,0.2,1.9,16.5,31.8,4.1,19,2.4,11.3,0,8.5,0.9,22.5,3.5,124.2,RB,173
Michael Carter,17,10,5.6,4.9,17.3,5.7,9.4,10.1,15.6,0,2.7,5.6,0,3,4.1,10,2.5,123.5,RB,100
Isiah Pacheco,12.2,0.6,0.9,6.3,0,3.8,4.3,0,1.9,6.2,10.7,15.6,16.2,12.3,8.7,10,12.9,122.6,RB,174
Kareem Hunt,23,9.4,9.1,8.8,14.7,1.2,7.8,11.2,0,2.9,7.4,3.1,9.4,3.2,3.7,5.2,0.9,121,RB,84
Breece Hall,10.1,13,15.2,15.8,27.7,20.1,13.2,0,0,0,0,0,0,0,0,0,0,115.1,RB,37
Brian Robinson,0,0,0,0,2.2,12,10.6,2,5.8,14.6,5.7,20.5,13.1,0,11.7,5.8,8.7,112.7,RB,94
Khalil Herbert,11.3,5.1,30.9,11.1,1.1,7.4,15.7,15.9,2.3,5.7,0,0,0,0,0,2.3,3.1,111.9,RB,142
James Cook,-1.8,5.3,8,0,9.1,0.8,0,8.6,5.3,2.2,8.6,3.8,16.5,2.5,11.9,17.8,0,98.6,RB,119
Clyde Edwards-Helaire,22.4,15.8,14.9,22.4,6.5,3.3,9.2,0,2.9,0,0.9,0,0,0,0,0,0,98.3,RB,62
Eno Benjamin,9.1,8.1,4.3,5.5,14.3,9.5,23.3,8.5,3.7,0,0,0,0,0.1,0,0,2.9,89.3,RB,329
James Robinson,19.9,15.8,20.6,2.9,5.9,6.5,0,1.7,13.3,0,1,0,1,0,0,0,0,88.6,RB,124
Kenyan Drake,5.6,0.8,0,0,3.7,19.7,0.5,16.7,24.9,0,7.3,0.2,6.6,2.2,0,0,0,88.2,RB,205
Melvin Gordon,7.2,6.3,16.5,-1.2,13.3,0.8,7,14.2,0,11,12,0,0,0,0,0,0,87.1,RB,101
Jaylen Warren,0.7,2.5,4.3,3.2,10.3,0.2,4.4,10.5,0,10.7,1.9,0,3.9,4.7,11.9,4,12.8,86,RB,413
Damien Harris,7.8,16.7,12.6,15.4,2.2,0,2,7.2,0,0,11.3,1.6,0,0,0,0,7.9,84.7,RB,57
Chuba Hubbard,0.3,0,2.5,0,0,1.7,15.3,0,0,1.4,4.5,6.5,0,18.9,9.7,12.5,9.5,82.8,RB,291
Kenneth Gainwell,11.2,2.8,0.6,8.7,2,2.5,0,2.1,12.8,2.2,0,11.6,8.3,1,3.4,9.8,3.7,82.7,RB,136
J.K. Dobbins,0,0,6,22.3,4.4,1.5,0,0,0,0,0,0,0,18,13.8,5.9,9.3,81.2,RB,80
Dontrell Hilliard,21.9,0,5.4,5.8,12.3,0,0.4,10.5,1.8,1.8,8.8,4.9,3.6,0,0,0,0,77.2,RB,268
Darrell Henderson,12.3,10.7,1.7,6.9,7,13.2,0,5,5.6,10.2,0.9,0,0,0,0,0,0,73.5,RB,115
Rex Burkhead,12,2.9,7,14.9,4.8,0,6.9,1.2,2.5,5,0,1.5,0,1.2,3.7,2.7,4,70.3,RB,359
Chase Edmonds,10.5,5.1,15.7,10,0.1,5.1,1.7,1.4,0,1.9,0.6,0,0,0,0,7.3,10.3,69.7,RB,88
Alexander Mattison,3.6,4.4,11.4,8.8,7,0.3,0,10,1.1,2.9,1.8,1.1,9.8,-0.1,0.1,1.7,5.5,69.4,RB,113
Nyheim Hines,11.4,7.7,8,2.3,1.8,0,9.3,12.9,0,1.9,-0.8,0.3,2.8,1.7,8,2.1,0,69.4,RB,129
Joshua Kelley,5.5,3.5,2.3,1.5,16.2,0,0,0,0,0,0,4,3,4.5,10.1,5.2,5.6,61.4,RB,399
Gus Edwards,0,0,0,0,0,0,18.6,6.5,0,0,0,9.2,1.2,6.6,5.5,9.9,0.2,57.7,RB,160
J.D. McKissic,7.8,13.3,10,8.6,8.7,2,0.4,5,0,0,0,0,0,0,0,0,0,55.8,RB,131
Rashaad Penny,8.7,1.5,7.9,28.7,5.4,0,0,0,0,0,0,0,0,0,0,0,0,52.2,RB,85
Ameer Abdullah,0,3.3,0,0,0,0,2.7,6.8,1.8,7.3,3.5,14.5,0.4,3.7,3.4,4.7,0,52.1,RB,243
Mark Ingram,1.3,6.1,7.8,7.3,3.6,6.7,5.2,1.2,0,0,0,1,9.9,0,0,0,0,50.1,RB,193
Justin Jefferson,39.4,10.8,4.4,31,30.32,16.7,0,15.8,25.5,35.3,6.3,29.34,18.6,33.3,30.3,31.3,2.5,360.86,WR,5
Tyreek Hill,18,42,5.3,25.9,13,29.7,14.2,31.5,27.3,15.4,0,15,29.6,18.1,21.9,14.3,15.7,336.9,WR,23
Davante Adams,30.1,9.2,14.2,19.5,27.4,0,17.5,1.2,36.6,27.6,33.1,14.4,37.7,10.1,6.8,3.5,34.3,323.2,WR,11
Stefon Diggs,26.2,44.8,14.4,10.2,24.2,30.8,0,22.8,14.3,24.8,14.8,21.7,22.2,6.7,10.7,4.6,0,293.2,WR,12
A.J. Brown,25.5,11.9,19.5,14.5,6.2,17.7,0,39.6,15.9,1.7,9,12.6,31.9,17,27.1,16.3,19.7,286.1,WR,29
CeeDee Lamb,4.9,15.1,22.7,21.7,10.3,12.7,10.6,18.8,0,38,9.5,17.7,20.4,8.3,19.7,34,21,285.4,WR,18
Amon-Ra St. Brown,20.4,39.4,13.3,0,5.8,0,1.4,13.9,9.5,22.1,15,27.9,34.6,13.4,15.2,14.6,10.2,256.7,WR,52
Jaylen Waddle,17.7,40.1,15.1,5.9,5.3,16.9,12.8,30.6,19.5,10.6,0,13.5,1.9,5.1,20.4,25.3,8.2,248.9,WR,32
DeVonta Smith,0,15,30.9,4.7,18.7,15.4,0,7.3,4.2,13.9,13.8,9,21.2,17.4,17.6,31.3,20.5,240.9,WR,79
Amari Cooper,4.7,25.1,23.1,1.9,20.6,14.4,10.4,22.1,0,6.2,31.3,16.4,8,6.2,9.8,13.2,25.5,238.9,WR,56
Mike Evans,18.1,9.1,0,30.3,12.1,8.2,18.6,18.3,9,10.4,0,5.1,9.9,8.4,13.3,5.9,48.7,225.4,WR,25
Tyler Lockett,5.8,19.7,16.6,15.1,27.4,3.7,11.5,15.3,17.7,13.2,0,15.8,27.8,17,13.8,0,3.5,223.9,WR,82
Christian Kirk,17.7,25.8,19.2,8.3,2.1,12.8,17.1,7,21.6,31.5,0,8.1,16.4,9.5,15.2,5.6,4.1,222,WR,97
DK Metcalf,8.6,7.5,17.4,21.9,17.8,5.4,2.2,17.5,14.7,13.1,0,20,26.7,18.1,12.5,15.1,1.3,219.8,WR,46
Ja'Marr Chase,28.9,10.8,12.7,12.1,12,32.2,33,0,0,0,0,0,16.7,28.5,19,13.9,0,219.8,WR,9
Tee Higgins,4.7,19.1,14.3,25.4,0,10.7,14.3,13.9,13,0,23.8,24.4,12.5,0,16.3,26.8,0,219.2,WR,30
Brandon Aiyuk,6.7,11.3,12.9,7.7,8.8,28.3,15.2,20.1,0,12.4,16,11.5,9.6,13.7,3.9,13.1,26.7,217.9,WR,91
Chris Godwin,6.5,0,0,12.9,12.3,15.5,11.5,13.5,10.7,19.1,0,29,14.3,10.4,22.3,14.3,21,213.3,WR,55
Terry McLaurin,13.8,12.2,16.2,3.5,12.6,8.2,18.3,16.6,10.6,20.8,9.6,9.3,24.5,0,13,17.7,5.7,212.6,WR,44
Michael Pittman,27.1,0,15.2,6.1,10.9,26.4,9.8,12.3,5.2,12.3,13.5,19.1,3.6,0,19,7.9,16.1,204.5,WR,38
Cooper Kupp,31.8,31.8,16.4,26.2,25.9,16.7,0,22.9,26.8,2.9,0,0,0,0,0,0,0,201.4,WR,3
Garrett Wilson,9.2,30,12,6.1,5.7,1.8,6.4,17.5,17.9,0,3.2,26.4,24.2,13.8,13.8,5,4.8,197.8,WR,110
D.J. Moore,8,13.3,2.5,12.1,10.7,3.7,19.6,27.5,4.4,6.9,5.4,20.3,0,0.6,18.3,20.1,23.7,197.1,WR,42
Zay Jones,12.5,5.3,24.5,0,4.2,9.2,10.8,6.5,9,14.8,0,27.5,3.6,21.7,34.9,2.1,5.4,192,WR,342
Chris Olave,9.1,11,23.7,16.7,15.4,0,17.6,10.2,13.1,7,21.2,11.2,10.5,0,8.3,0,8.2,183.2,WR,108
Jerry Jeudy,20.2,2.2,3.7,15.3,8.3,8.4,16.6,18.3,0,0,0,0,10.5,33.3,14.6,17.7,10.8,179.9,WR,61
JuJu Smith-Schuster,11.9,4,13.9,9.6,6.3,22.3,25.4,0,18.8,5.3,0,6.8,6.5,22.4,16.8,5.7,4.1,179.8,WR,72
Curtis Samuel,19.2,22.9,13.1,7.8,12.2,2.6,12.9,10.9,17.1,6,9.8,1.3,14.6,0,7.5,16.4,1.6,175.9,WR,204
Diontae Johnson,12.5,13.7,16.4,4.2,11,8.6,9.5,8.5,0,10.3,6.2,9.9,11,14.2,20,11.4,5.5,172.9,WR,36
Jakobi Meyers,10.2,18.5,0,0,24.1,10,11.4,21,7.4,0,9.2,9.2,5.2,0,8.7,20.3,16.9,172.1,WR,137
Adam Thielen,6.6,9.2,18.1,15.2,6.7,15.6,0,12.7,9.7,9.9,4.5,21.1,4.7,19.5,13.1,1.6,2.6,170.8,WR,70
Mike Williams,3,25.3,8.5,19,23.4,3.7,21.6,0,0,0,2.5,0,0,23.6,10.7,11.6,16.4,169.3,WR,45
Gabe Davis,18.8,0,6.7,2.3,32.1,16.4,0,5.5,5.3,21.3,11.8,7.8,9.5,6.1,9.6,11.5,0,164.7,WR,60
Deebo Samuel,12.6,14.7,12.9,23.7,11.2,16,9.4,0,0,7.1,22.4,7.3,12.3,14.4,0,0,0,164,WR,16
Donovan Peoples-Jones,12,0,2,12.1,9,11.6,11.1,12.1,0,14.9,17.1,3.6,13.4,19.4,13.1,1.2,8.3,160.9,WR,217
