,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Total PPR,Pos,Fantrax
Cam Akers,0.0,8.2,10.1,1.3,3.3,0.0,0.0,0.0,0.3,2.2,6.1,3.7,19.0,9.3,13.0,34.7,14.3,125.50000000000001,RB,27.0
D'Onta Foreman,0.5,0.9,0.0,0.2,0.2,1.9,16.5,31.8,4.1,19.0,2.4,11.3,0.0,8.5,0.9,22.5,3.5,124.19999999999999,RB,173.0
Michael Carter,17.0,10.0,5.6,4.9,17.3,5.7,9.4,10.1,15.6,0.0,2.7,5.6,0.0,3.0,4.1,10.0,2.5,123.5,RB,100.0
Isiah Pacheco,12.2,0.6,0.9,6.3,0.0,3.8,4.3,0.0,1.9,6.2,10.7,15.6,16.2,12.3,8.7,10.0,12.9,122.6,RB,174.0
Kareem Hunt,23.0,9.4,9.1,8.8,14.7,1.2,7.8,11.2,0.0,2.9,7.4,3.1,9.4,3.2,3.7,5.2,0.9,121.0,RB,84.0
Breece Hall,10.1,13.0,15.2,15.8,27.7,20.1,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.1,RB,37.0
Brian Robinson,0.0,0.0,0.0,0.0,2.2,12.0,10.6,2.0,5.8,14.6,5.7,20.5,13.1,0.0,11.7,5.8,8.7,112.7,RB,94.0
Khalil Herbert,11.3,5.1,30.9,11.1,1.1,7.4,15.7,15.9,2.3,5.7,0.0,0.0,0.0,0.0,0.0,2.3,3.1,111.9,RB,142.0
James Cook,-1.8,5.3,8.0,0.0,9.1,0.8,0.0,8.6,5.3,2.2,8.6,3.8,16.5,2.5,11.9,17.8,0.0,98.60000000000001,RB,119.0
Clyde Edwards-Helaire,22.4,15.8,14.9,22.4,6.5,3.3,9.2,0.0,2.9,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,98.3,RB,62.0
Eno Benjamin,9.1,8.1,4.3,5.5,14.3,9.5,23.3,8.5,3.7,0.0,0.0,0.0,0.0,0.1,0.0,0.0,2.9,89.30000000000001,RB,329.0
James Robinson,19.9,15.8,20.6,2.9,5.9,6.5,0.0,1.7,13.3,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,88.6,RB,124.0
Kenyan Drake,5.6,0.8,0.0,0.0,3.7,19.7,0.5,16.7,24.9,0.0,7.3,0.2,6.6,2.2,0.0,0.0,0.0,88.2,RB,205.0
Melvin Gordon,7.2,6.3,16.5,-1.2,13.3,0.8,7.0,14.2,0.0,11.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,87.1,RB,101.0
Jaylen Warren,0.7,2.5,4.3,3.2,10.3,0.2,4.4,10.5,0.0,10.7,1.9,0.0,3.9,4.7,11.9,4.0,12.8,86.0,RB,413.0
Damien Harris,7.8,16.7,12.6,15.4,2.2,0.0,2.0,7.2,0.0,0.0,11.3,1.6,0.0,0.0,0.0,0.0,7.9,84.70000000000002,RB,57.0
Chuba Hubbard,0.3,0.0,2.5,0.0,0.0,1.7,15.3,0.0,0.0,1.4,4.5,6.5,0.0,18.9,9.7,12.5,9.5,82.8,RB,291.0
Kenneth Gainwell,11.2,2.8,0.6,8.7,2.0,2.5,0.0,2.1,12.8,2.2,0.0,11.6,8.3,1.0,3.4,9.8,3.7,82.7,RB,136.0
J.K. Dobbins,0.0,0.0,6.0,22.3,4.4,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,13.8,5.9,9.3,81.2,RB,80.0
Dontrell Hilliard,21.9,0.0,5.4,5.8,12.3,0.0,0.4,10.5,1.8,1.8,8.8,4.9,3.6,0.0,0.0,0.0,0.0,77.2,RB,268.0
Darrell Henderson,12.3,10.7,1.7,6.9,7.0,13.2,0.0,5.0,5.6,10.2,0.9,0.0,0.0,0.0,0.0,0.0,0.0,73.5,RB,115.0
Rex Burkhead,12.0,2.9,7.0,14.9,4.8,0.0,6.9,1.2,2.5,5.0,0.0,1.5,0.0,1.2,3.7,2.7,4.0,70.3,RB,359.0
Chase Edmonds,10.5,5.1,15.7,10.0,0.1,5.1,1.7,1.4,0.0,1.9,0.6,0.0,0.0,0.0,0.0,7.3,10.3,69.69999999999999,RB,88.0
Alexander Mattison,3.6,4.4,11.4,8.8,7.0,0.3,0.0,10.0,1.1,2.9,1.8,1.1,9.8,-0.1,0.1,1.7,5.5,69.4,RB,113.0
Nyheim Hines,11.4,7.7,8.0,2.3,1.8,0.0,9.3,12.9,0.0,1.9,-0.8,0.3,2.8,1.7,8.0,2.1,0.0,69.39999999999999,RB,129.0
Joshua Kelley,5.5,3.5,2.3,1.5,16.2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,4.5,10.1,5.2,5.6,61.4,RB,399.0
Gus Edwards,0.0,0.0,0.0,0.0,0.0,0.0,18.6,6.5,0.0,0.0,0.0,9.2,1.2,6.6,5.5,9.9,0.2,57.7,RB,160.0
J.D. McKissic,7.8,13.3,10.0,8.6,8.7,2.0,0.4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.800000000000004,RB,131.0
Rashaad Penny,8.7,1.5,7.9,28.7,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.199999999999996,RB,85.0
Ameer Abdullah,0.0,3.3,0.0,0.0,0.0,0.0,2.7,6.8,1.8,7.3,3.5,14.5,0.4,3.7,3.4,4.7,0.0,52.1,RB,243.0
Mark Ingram,1.3,6.1,7.8,7.3,3.6,6.7,5.2,1.2,0.0,0.0,0.0,1.0,9.9,0.0,0.0,0.0,0.0,50.1,RB,193.0
